FQFODE_QTABLE_V2
training_case_id	WS2tn50
seed_manifest_id	fqfode_seed_manifest_20250911_v1
training_physical_fes	39700
table_hash	fnv1a64:8c082977549728f3
stage	state	action	value
1	19	0	0
1	19	1	0
1	19	2	0
1	20	0	0
1	20	1	0
1	20	2	0
1	21	0	0
1	21	1	0
1	21	2	0
1	22	0	0
1	22	1	0
1	22	2	0
1	23	0	0
1	23	1	0
1	23	2	0
1	24	0	0
1	24	1	0
1	24	2	0
1	25	0	0
1	25	1	0
1	25	2	0
1	26	0	0
1	26	1	0
1	26	2	0
1	27	0	0
1	27	1	0
1	27	2	0
1	28	0	0
1	28	1	0
1	28	2	0
1	29	0	0
1	29	1	0
1	29	2	0
1	30	0	0
1	30	1	0
1	30	2	0
1	31	0	0
1	31	1	0
1	31	2	0
1	32	0	0
1	32	1	0
1	32	2	0
1	33	0	0
1	33	1	0
1	33	2	0
1	34	0	0
1	34	1	0
1	34	2	0
1	35	0	0
1	35	1	0
1	35	2	0
1	36	0	0
1	36	1	0
1	36	2	0
1	37	0	0
1	37	1	0
1	37	2	0
1	38	0	0
1	38	1	0
1	38	2	0
1	39	0	0
1	39	1	0
1	39	2	0
1	40	0	0
1	40	1	0
1	40	2	0
1	41	0	0
1	41	1	0
1	41	2	0
1	42	0	0
1	42	1	0
1	42	2	0
1	43	0	0
1	43	1	0
1	43	2	0
1	44	0	0
1	44	1	0
1	44	2	0
1	45	0	0
1	45	1	0
1	45	2	0
1	46	0	0
1	46	1	0
1	46	2	0
1	47	0	0
1	47	1	0
1	47	2	0
1	48	0	0
1	48	1	0
1	48	2	0
1	49	0	0
1	49	1	0
1	49	2	0
1	50	0	0
1	50	1	0
1	50	2	0
1	51	0	0
1	51	1	0
1	51	2	0
1	52	0	0
1	52	1	0
1	52	2	0
1	53	0	0
1	53	1	0
1	53	2	0
1	54	0	0
1	54	1	0
1	54	2	0
1	55	0	0
1	55	1	0
1	55	2	0
1	56	0	0
1	56	1	0
1	56	2	0
1	57	0	0
1	57	1	0
1	57	2	0
1	58	0	0
1	58	1	0
1	58	2	0
1	59	0	0
1	59	1	0
1	59	2	0
1	60	0	0
1	60	1	0
1	60	2	0
1	61	0	0
1	61	1	0
1	61	2	0
1	62	0	0
1	62	1	0
1	62	2	0
1	63	0	0
1	63	1	0
1	63	2	0
1	64	0	0
1	64	1	0
1	64	2	0
1	65	0	0
1	65	1	0
1	65	2	0
1	66	0	0
1	66	1	0
1	66	2	0
1	67	0	0
1	67	1	0
1	67	2	0
1	68	0	0
1	68	1	0
1	68	2	0
1	69	0	0
1	69	1	0
1	69	2	0
1	70	0	0
1	70	1	0
1	70	2	0
1	71	0	0
1	71	1	0
1	71	2	0
1	72	0	0
1	72	1	0
1	72	2	0
1	73	0	0
1	73	1	0
1	73	2	0
1	74	0	0
1	74	1	0
1	74	2	0
1	75	0	0
1	75	1	0
1	75	2	0.0061853763482551255
1	76	0	0.029080793595268817
1	76	1	0.0063266731301478531
1	76	2	0.62838047838868494
1	77	0	0.25766876916753612
1	77	1	0.63603324927401073
1	77	2	0.77777925793029024
1	78	0	0.84967793671162628
1	78	1	0.23848164143189282
1	78	2	0.86724121545846555
1	79	0	0.69301706739562774
1	79	1	1.537538647262968
1	79	2	0.91303914080606208
1	80	0	1.3081081346194445
1	80	1	0.8126184358136046
1	80	2	0.38689869068732263
1	81	0	0.46611381594669721
1	81	1	0.29787199292049577
1	81	2	0.14611501666524568
1	82	0	0.25807939328764473
1	82	1	0.2106685455470021
1	82	2	0.009926703202941034
1	83	0	0.024422872045103104
1	83	1	0
1	83	2	0
1	84	0	0.0017642965593079817
1	84	1	0
1	84	2	0.0043353835435594118
1	85	0	0
1	85	1	0
1	85	2	0
1	86	0	0
1	86	1	0
1	86	2	0
1	87	0	0
1	87	1	0
1	87	2	0.0093318453342424081
1	88	0	0.034273004118648288
1	88	1	0
1	88	2	0
1	89	0	0
1	89	1	0.0088060440109342091
1	89	2	0.099655998520005257
1	90	0	0.11605781625186851
1	90	1	0
1	90	2	0.061141271179908863
1	91	0	0
1	91	1	0
1	91	2	0
1	92	0	0
1	92	1	0
1	92	2	0
1	93	0	0
1	93	1	0
1	93	2	0
1	94	0	0
1	94	1	0
1	94	2	0
1	95	0	0
1	95	1	0
1	95	2	0
1	96	0	0
1	96	1	0
1	96	2	0
1	97	0	0
1	97	1	0
1	97	2	0
1	98	0	0
1	98	1	0
1	98	2	0
1	99	0	0
1	99	1	0
1	99	2	0
1	100	0	0
1	100	1	0
1	100	2	0
2	0	0	0
2	0	1	0
2	0	2	0
2	1	0	0
2	1	1	0
2	1	2	0
2	2	0	0
2	2	1	0
2	2	2	0
2	3	0	0
2	3	1	0
2	3	2	0
2	4	0	0
2	4	1	0
2	4	2	0
2	5	0	0
2	5	1	0
2	5	2	0
2	6	0	0
2	6	1	0
2	6	2	0
2	7	0	0
2	7	1	0
2	7	2	0
2	8	0	0
2	8	1	0
2	8	2	0
2	9	0	0
2	9	1	0
2	9	2	0
2	10	0	0
2	10	1	0
2	10	2	0
2	11	0	0
2	11	1	0
2	11	2	0
2	12	0	0
2	12	1	0
2	12	2	0
2	13	0	0
2	13	1	0
2	13	2	0
2	14	0	0
2	14	1	0
2	14	2	0
2	15	0	0
2	15	1	0
2	15	2	0
2	16	0	0
2	16	1	0
2	16	2	0
2	17	0	0
2	17	1	0
2	17	2	0
2	18	0	0
2	18	1	0
2	18	2	0
2	19	0	0
2	19	1	0
2	19	2	0
2	20	0	0
2	20	1	0
2	20	2	0
2	21	0	0
2	21	1	0
2	21	2	0
2	22	0	0
2	22	1	0
2	22	2	0
2	23	0	0
2	23	1	0
2	23	2	0
2	24	0	0
2	24	1	0
2	24	2	0
2	25	0	0
2	25	1	0
2	25	2	0
2	26	0	0
2	26	1	0
2	26	2	0
2	27	0	0
2	27	1	0
2	27	2	0
2	28	0	0
2	28	1	0
2	28	2	0
2	29	0	0
2	29	1	0
2	29	2	0
2	30	0	0
2	30	1	0
2	30	2	0
2	31	0	0
2	31	1	0
2	31	2	0
2	32	0	0
2	32	1	0
2	32	2	0
2	33	0	0
2	33	1	0
2	33	2	0
2	34	0	0
2	34	1	0
2	34	2	0
2	35	0	0
2	35	1	0
2	35	2	0
2	36	0	0
2	36	1	0
2	36	2	0
2	37	0	0
2	37	1	0
2	37	2	0
2	38	0	0
2	38	1	0
2	38	2	0
2	39	0	0
2	39	1	0
2	39	2	0
2	40	0	0
2	40	1	0
2	40	2	0
2	41	0	0
2	41	1	0
2	41	2	0
2	42	0	0
2	42	1	0
2	42	2	0
2	43	0	0
2	43	1	0
2	43	2	0
2	44	0	0
2	44	1	0
2	44	2	0
2	45	0	0
2	45	1	0
2	45	2	0
2	46	0	0
2	46	1	0
2	46	2	0
2	47	0	0
2	47	1	0
2	47	2	0
2	48	0	0
2	48	1	0
2	48	2	0
2	49	0	0
2	49	1	0
2	49	2	0
2	50	0	0
2	50	1	0
2	50	2	0
2	51	0	0
2	51	1	0
2	51	2	0
2	52	0	0
2	52	1	0
2	52	2	0
2	53	0	0
2	53	1	0
2	53	2	0
2	54	0	0
2	54	1	0
2	54	2	0
2	55	0	0
2	55	1	0
2	55	2	0
2	56	0	0
2	56	1	0
2	56	2	0
2	57	0	0
2	57	1	0
2	57	2	0
2	58	0	0
2	58	1	0
2	58	2	0
2	59	0	0
2	59	1	0
2	59	2	0
2	60	0	0
2	60	1	0
2	60	2	0
2	61	0	0
2	61	1	0
2	61	2	0
2	62	0	0
2	62	1	0
2	62	2	0
2	63	0	0
2	63	1	0
2	63	2	0
2	64	0	0
2	64	1	0
2	64	2	0
2	65	0	0
2	65	1	0
2	65	2	0
2	66	0	0
2	66	1	0
2	66	2	0
2	67	0	0
2	67	1	0
2	67	2	0
2	68	0	0
2	68	1	0
2	68	2	0
2	69	0	0
2	69	1	0
2	69	2	0
2	70	0	0
2	70	1	0
2	70	2	0
2	71	0	0
2	71	1	0
2	71	2	0
2	72	0	0
2	72	1	0
2	72	2	0
2	73	0	0
2	73	1	0
2	73	2	0
2	74	0	0
2	74	1	0
2	74	2	0
2	75	0	0
2	75	1	0
2	75	2	0.0061853763482551255
2	76	0	0.029080793595268817
2	76	1	0.0063266731301478531
2	76	2	0.62838047838868494
2	77	0	0.25766876916753612
2	77	1	0.63603324927401073
2	77	2	0.77777925793029024
2	78	0	0.84967793671162628
2	78	1	0.23848164143189282
2	78	2	0.86724121545846555
2	79	0	0.69301706739562774
2	79	1	1.537538647262968
2	79	2	0.91303914080606208
2	80	0	1.3081081346194445
2	80	1	0.8126184358136046
2	80	2	0.38689869068732263
2	81	0	0.46611381594669721
2	81	1	0.29787199292049577
2	81	2	0.14611501666524568
2	82	0	0.25807939328764473
2	82	1	0.2106685455470021
2	82	2	0.009926703202941034
2	83	0	0.024422872045103104
2	83	1	0
2	83	2	0
2	84	0	0.0017642965593079817
2	84	1	0
2	84	2	0.0043353835435594118
2	85	0	0
2	85	1	0
2	85	2	0
2	86	0	0
2	86	1	0
2	86	2	0
2	87	0	0
2	87	1	0
2	87	2	0.0093318453342424081
2	88	0	0.034273004118648288
2	88	1	0
2	88	2	0
2	89	0	0
2	89	1	0.0088060440109342091
2	89	2	0.099655998520005257
2	90	0	0.11605781625186851
2	90	1	0
2	90	2	0.061141271179908863
2	91	0	0
2	91	1	0
2	91	2	0
2	92	0	0
2	92	1	0
2	92	2	0
2	93	0	0
2	93	1	0
2	93	2	0
2	94	0	0
2	94	1	0
2	94	2	0
2	95	0	0
2	95	1	0
2	95	2	0
2	96	0	0
2	96	1	0
2	96	2	0
2	97	0	0
2	97	1	0
2	97	2	0
2	98	0	0
2	98	1	0
2	98	2	0
2	99	0	0
2	99	1	0
2	99	2	0
2	100	0	0
2	100	1	0
2	100	2	0
3	0	0	0
3	0	1	0
3	0	2	0
3	1	0	0
3	1	1	0
3	1	2	0
3	2	0	0
3	2	1	0
3	2	2	0
3	3	0	0
3	3	1	0
3	3	2	0
3	4	0	0
3	4	1	0
3	4	2	0
3	5	0	0
3	5	1	0
3	5	2	0
3	6	0	0
3	6	1	0
3	6	2	0
3	7	0	0
3	7	1	0
3	7	2	0
3	8	0	0
3	8	1	0
3	8	2	0
3	9	0	0
3	9	1	0
3	9	2	0
3	10	0	0
3	10	1	0
3	10	2	0
3	11	0	0
3	11	1	0
3	11	2	0
3	12	0	0
3	12	1	0
3	12	2	0
3	13	0	0
3	13	1	0
3	13	2	0
3	14	0	0
3	14	1	0
3	14	2	0
3	15	0	0
3	15	1	0
3	15	2	0
3	16	0	0
3	16	1	0
3	16	2	0
3	17	0	0
3	17	1	0
3	17	2	0
3	18	0	0
3	18	1	0
3	18	2	0
3	19	0	0
3	19	1	0
3	19	2	0
3	20	0	0
3	20	1	0
3	20	2	0
3	21	0	0
3	21	1	0
3	21	2	0
3	22	0	0
3	22	1	0
3	22	2	0
3	23	0	0
3	23	1	0
3	23	2	0
3	24	0	0
3	24	1	0
3	24	2	0
3	25	0	0
3	25	1	0
3	25	2	0
3	26	0	0
3	26	1	0
3	26	2	0
3	27	0	0
3	27	1	0
3	27	2	0
3	28	0	0
3	28	1	0
3	28	2	0
3	29	0	0
3	29	1	0
3	29	2	0
3	30	0	0
3	30	1	0
3	30	2	0
3	31	0	0
3	31	1	0
3	31	2	0
3	32	0	0
3	32	1	0
3	32	2	0
3	33	0	0
3	33	1	0
3	33	2	0
3	34	0	0
3	34	1	0
3	34	2	0
3	35	0	0
3	35	1	0
3	35	2	0
3	36	0	0
3	36	1	0
3	36	2	0
3	37	0	0
3	37	1	0
3	37	2	0
3	38	0	0
3	38	1	0
3	38	2	0
3	39	0	0
3	39	1	0
3	39	2	0
3	40	0	0
3	40	1	0
3	40	2	0
3	41	0	0
3	41	1	0
3	41	2	0
3	42	0	0
3	42	1	0
3	42	2	0
3	43	0	0
3	43	1	0
3	43	2	0
3	44	0	0
3	44	1	0
3	44	2	0
3	45	0	0
3	45	1	0
3	45	2	0
3	46	0	0
3	46	1	0
3	46	2	0
3	47	0	0
3	47	1	0
3	47	2	0
3	48	0	0
3	48	1	0
3	48	2	0
3	49	0	0
3	49	1	0
3	49	2	0
3	50	0	0
3	50	1	0
3	50	2	0
3	51	0	0
3	51	1	0
3	51	2	0
3	52	0	0
3	52	1	0
3	52	2	0
3	53	0	0
3	53	1	0
3	53	2	0
3	54	0	0
3	54	1	0
3	54	2	0
3	55	0	0
3	55	1	0
3	55	2	0
3	56	0	0
3	56	1	0
3	56	2	0
3	57	0	0
3	57	1	0
3	57	2	0
3	58	0	0
3	58	1	0
3	58	2	0
3	59	0	0
3	59	1	0
3	59	2	0
3	60	0	0
3	60	1	0
3	60	2	0
3	61	0	0
3	61	1	0
3	61	2	0
3	62	0	0
3	62	1	0
3	62	2	0
3	63	0	0
3	63	1	0
3	63	2	0
3	64	0	0
3	64	1	0
3	64	2	0
3	65	0	0
3	65	1	0
3	65	2	0
3	66	0	0
3	66	1	0
3	66	2	0
3	67	0	0
3	67	1	0
3	67	2	0
3	68	0	0
3	68	1	0
3	68	2	0
3	69	0	0
3	69	1	0
3	69	2	0
3	70	0	0
3	70	1	0
3	70	2	0
3	71	0	0
3	71	1	0
3	71	2	0
3	72	0	0
3	72	1	0
3	72	2	0
3	73	0	0
3	73	1	0
3	73	2	0
3	74	0	0
3	74	1	0
3	74	2	0
3	75	0	0
3	75	1	0
3	75	2	0.0061853763482551255
3	76	0	0.029080793595268817
3	76	1	0.0063266731301478531
3	76	2	0.62838047838868494
3	77	0	0.25766876916753612
3	77	1	0.63603324927401073
3	77	2	0.77777925793029024
3	78	0	0.84967793671162628
3	78	1	0.23848164143189282
3	78	2	0.86724121545846555
3	79	0	0.69301706739562774
3	79	1	1.537538647262968
3	79	2	0.91303914080606208
3	80	0	1.3081081346194445
3	80	1	0.8126184358136046
3	80	2	0.38689869068732263
3	81	0	0.46611381594669721
3	81	1	0.29787199292049577
3	81	2	0.14611501666524568
3	82	0	0.25807939328764473
3	82	1	0.2106685455470021
3	82	2	0.009926703202941034
3	83	0	0.024422872045103104
3	83	1	0
3	83	2	0
3	84	0	0.0017642965593079817
3	84	1	0
3	84	2	0.0043353835435594118
3	85	0	0
3	85	1	0
3	85	2	0
3	86	0	0
3	86	1	0
3	86	2	0
3	87	0	0
3	87	1	0
3	87	2	0.0093318453342424081
3	88	0	0.034273004118648288
3	88	1	0
3	88	2	0
3	89	0	0
3	89	1	0.0088060440109342091
3	89	2	0.099655998520005257
3	90	0	0.11605781625186851
3	90	1	0
3	90	2	0.061141271179908863
3	91	0	0
3	91	1	0
3	91	2	0
3	92	0	0
3	92	1	0
3	92	2	0
3	93	0	0
3	93	1	0
3	93	2	0
3	94	0	0
3	94	1	0
3	94	2	0
3	95	0	0
3	95	1	0
3	95	2	0
3	96	0	0
3	96	1	0
3	96	2	0
3	97	0	0
3	97	1	0
3	97	2	0
3	98	0	0
3	98	1	0
3	98	2	0
3	99	0	0
3	99	1	0
3	99	2	0
3	100	0	0
3	100	1	0
3	100	2	0
